date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2021-03-27,0.1417927848130736,0.14716888117074825,0.23508668821627973,969913.0,7592.0,22653.0,66.0,0.14851372119172748,9674681.0,6403512.0,3271169.0,0.0
2021-03-28,0.1417927848130736,0.14716888117074825,0.23508668821627973,977243.0,7330.0,22754.0,101.0,0.14851372119172748,9676075.0,6404482.0,3271593.0,0.0
2021-03-29,0.1417927848130736,0.14716888117074825,0.23508668821627973,984484.0,7241.0,23070.0,316.0,0.14851372119172748,9943010.0,6555831.0,3387179.0,0.0
2021-03-30,0.1417927848130736,0.14716888117074825,0.23508668821627973,989492.0,5008.0,23107.0,37.0,0.14851372119172748,10221838.0,6689835.0,3532003.0,0.0
2021-03-31,0.1417927848130736,0.14716888117074825,0.23508668821627973,995538.0,6046.0,23135.0,28.0,0.14851372119172748,10502333.0,6817054.0,3685279.0,0.0
2021-04-01,0.1417927848130736,0.14716888117074825,0.23508668821627973,1003406.0,7868.0,23328.0,193.0,0.14851372119172748,10805895.0,6951956.0,3853939.0,0.0
2021-04-02,0.1417927848130736,0.14716888117074825,0.23508668821627973,1011485.0,8079.0,23421.0,93.0,0.14851372119172748,10813005.0,6953851.0,3859154.0,0.0
2021-04-03,0.1417927848130736,0.14716888117074825,0.23508668821627973,1019478.0,7993.0,23524.0,103.0,0.14851372119172748,10816235.0,6955732.0,3860503.0,0.0
2021-04-04,0.1417927848130736,0.14716888117074825,0.23508668821627973,1026785.0,7307.0,23644.0,120.0,0.14851372119172748,10817369.0,6956397.0,3860972.0,0.0
2021-04-05,0.14488543469626528,0.15231802605950628,0.23508668821627973,1032612.0,5827.0,23677.0,33.0,0.15127479144627518,11102420.0,7036417.0,4066003.0,0.0
2021-04-06,0.14488543469626528,0.15231802605950628,0.23508668821627973,1037780.0,5168.0,23734.0,57.0,0.15127479144627518,11342445.0,7129620.0,4212825.0,0.0
2021-04-07,0.14488543469626528,0.15231802605950628,0.23508668821627973,1043022.0,5242.0,23796.0,62.0,0.15127479144627518,11575885.0,7224553.0,4351332.0,0.0
2021-04-08,0.14488543469626528,0.15231802605950628,0.23508668821627973,1051270.0,8248.0,23979.0,183.0,0.15127479144627518,11815597.0,7301359.0,4514238.0,0.0
2021-04-09,0.14488543469626528,0.15231802605950628,0.23508668821627973,1060421.0,9151.0,24108.0,129.0,0.15127479144627518,12034707.0,7372300.0,4662407.0,0.0
2021-04-10,0.14488543469626528,0.15231802605950628,0.23508668821627973,1068522.0,8101.0,24213.0,105.0,0.15127479144627518,12060757.0,7383501.0,4677256.0,0.0
2021-04-11,0.14488543469626528,0.15231802605950628,0.23508668821627973,1076499.0,7977.0,24346.0,133.0,0.15127479144627518,12063215.0,7384602.0,4678613.0,0.0
2021-04-12,0.14488543469626528,0.15231802605950628,0.23508668821627973,1082920.0,6421.0,24483.0,137.0,0.15127479144627518,12300486.0,7462830.0,4837656.0,0.0
2021-04-13,0.14488543469626528,0.15231802605950628,0.23508668821627973,1088710.0,5790.0,24518.0,35.0,0.15127479144627518,12535975.0,7537885.0,4998090.0,0.0
2021-04-14,0.14488543469626528,0.15231802605950628,0.23508668821627973,1094267.0,5557.0,24548.0,30.0,0.15127479144627518,12765709.0,7617311.0,5148398.0,0.0
2021-04-15,0.14488543469626528,0.15231802605950628,0.23508668821627973,1101698.0,7431.0,24766.0,218.0,0.15127479144627518,12973092.0,7679661.0,5293431.0,0.0
2021-04-16,0.14488543469626528,0.15231802605950628,0.23508668821627973,1109311.0,7613.0,24923.0,157.0,0.15127479144627518,13167535.0,7738135.0,5429400.0,0.0
2021-04-17,0.14488543469626528,0.15231802605950628,0.23508668821627973,1117348.0,8037.0,25055.0,132.0,0.15127479144627518,13189842.0,7746047.0,5443795.0,0.0
2021-04-18,0.14488543469626528,0.15231802605950628,0.23508668821627973,1124718.0,7370.0,25177.0,122.0,0.15127479144627518,13192485.0,7746923.0,5445562.0,0.0
2021-04-19,0.14488543469626528,0.15231802605950628,0.23508668821627973,1131340.0,6622.0,25277.0,100.0,0.15127479144627518,13387810.0,7790919.0,5596891.0,0.0
2021-04-20,0.14488543469626528,0.15231802605950628,0.23508668821627973,1136189.0,4849.0,25317.0,40.0,0.15127479144627518,13577389.0,7830205.0,5747184.0,0.0
2021-04-21,0.14488543469626528,0.15231802605950628,0.23508668821627973,1141403.0,5214.0,25353.0,36.0,0.15127479144627518,13755172.0,7861415.0,5893757.0,0.0
2021-04-22,0.14488543469626528,0.15231802605950628,0.23508668821627973,1148320.0,6917.0,25532.0,179.0,0.15127479144627518,13956103.0,7917853.0,6038250.0,0.0
2021-04-23,0.14488543469626528,0.15231802605950628,0.23508668821627973,1155902.0,7582.0,25641.0,109.0,0.15127479144627518,14139915.0,7957747.0,6182168.0,0.0
2021-04-24,0.14488543469626528,0.15231802605950628,0.23508668821627973,1162811.0,6909.0,25742.0,101.0,0.15127479144627518,14157618.0,7963497.0,6194121.0,0.0
2021-04-25,0.14488543469626528,0.15231802605950628,0.23508668821627973,1169536.0,6725.0,25856.0,114.0,0.15127479144627518,14158664.0,7963850.0,6194814.0,0.0
2021-04-26,0.14902055083221816,0.15748575991898184,0.23508668821627973,1175614.0,6078.0,25975.0,119.0,0.15495621845233873,14355601.0,8006998.0,6348603.0,0.0
2021-04-27,0.14902055083221816,0.15748575991898184,0.23508668821627973,1179772.0,4158.0,26020.0,45.0,0.15495621845233873,14527278.0,8046041.0,6481237.0,0.0
2021-04-28,0.14902055083221816,0.15748575991898184,0.23508668821627973,1184271.0,4499.0,26073.0,53.0,0.15495621845233873,14696582.0,8089565.0,6607017.0,0.0
2021-04-29,0.14902055083221816,0.15748575991898184,0.23508668821627973,1190991.0,6720.0,26247.0,174.0,0.15495621845233873,14852192.0,8120485.0,6731707.0,0.0
2021-04-30,0.14902055083221816,0.15748575991898184,0.23508668821627973,1198245.0,7254.0,26353.0,106.0,0.15495621845233873,14940230.0,8171498.0,6768732.0,0.0
2021-05-01,0.14902055083221816,0.15748575991898184,0.23508668821627973,1203755.0,5510.0,26457.0,104.0,0.15495621845233873,14942531.0,8172589.0,6769942.0,0.0
2021-05-02,0.14902055083221816,0.15748575991898184,0.23508668821627973,1210920.0,7165.0,26561.0,104.0,0.15495621845233873,14943999.0,8173390.0,6770609.0,0.0
2021-05-03,0.1393082402439927,0.1454401068940172,0.23508668821627973,1215815.0,4895.0,26659.0,98.0,0.14630132515442967,15096128.0,8249521.0,6846607.0,0.0
2021-05-04,0.1393082402439927,0.1454401068940172,0.23508668821627973,1219064.0,3249.0,26696.0,37.0,0.14630132515442967,15265981.0,8330657.0,6935324.0,0.0
2021-05-05,0.1393082402439927,0.1454401068940172,0.23508668821627973,1222949.0,3885.0,26726.0,30.0,0.14630132515442967,15441317.0,8412223.0,7029094.0,0.0
2021-05-06,0.1393082402439927,0.1454401068940172,0.23508668821627973,1229248.0,6299.0,26895.0,169.0,0.14630132515442967,15599767.0,8493876.0,7105891.0,0.0
2021-05-07,0.1393082402439927,0.1454401068940172,0.23508668821627973,1235778.0,6530.0,27004.0,109.0,0.14630132515442967,15747946.0,8578055.0,7169891.0,0.0
2021-05-08,0.1393082402439927,0.1454401068940172,0.23508668821627973,1241976.0,6198.0,27101.0,97.0,0.14630132515442967,15773547.0,8595442.0,7178105.0,0.0
2021-05-09,0.1393082402439927,0.1454401068940172,0.23508668821627973,1247469.0,5493.0,27218.0,117.0,0.14630132515442967,15774960.0,8596407.0,7178553.0,0.0
2021-05-10,0.1393082402439927,0.1454401068940172,0.23508668821627973,1252808.0,5339.0,27318.0,100.0,0.14630132515442967,15948918.0,8699776.0,7249142.0,0.0
2021-05-11,0.1393082402439927,0.1454401068940172,0.23508668821627973,1256546.0,3738.0,27356.0,38.0,0.14630132515442967,16141831.0,8807239.0,7334592.0,0.0
2021-05-12,0.1393082402439927,0.1454401068940172,0.23508668821627973,1260448.0,3902.0,27384.0,28.0,0.14630132515442967,16325352.0,8912155.0,7413197.0,0.0
2021-05-13,0.1393082402439927,0.1454401068940172,0.23508668821627973,1266601.0,6153.0,27520.0,136.0,0.14630132515442967,16483173.0,9009217.0,7473956.0,0.0
2021-05-14,0.1393082402439927,0.1454401068940172,0.23508668821627973,1273516.0,6915.0,27647.0,127.0,0.14630132515442967,16642851.0,9112528.0,7530323.0,0.0
2021-05-15,0.1393082402439927,0.1454401068940172,0.23508668821627973,1280252.0,6736.0,27734.0,87.0,0.14630132515442967,16644317.0,9113585.0,7530732.0,0.0
